Date,Open,High,Low,Close,Adj Close,Volume
1999-08-01,10.000000,10.260000,10.000000,10.120000,6.132990,0
1999-09-01,10.270000,10.440000,10.050000,10.230000,6.199652,0
1999-10-01,10.270000,10.610000,10.100000,10.610000,6.429944,0
1999-11-01,10.600000,11.200000,10.600000,11.020000,6.678416,0
1999-12-01,11.070000,11.960000,11.060000,11.960000,7.248082,0
2000-01-01,12.060000,12.060000,11.180000,11.180000,6.798907,0
2000-02-01,11.210000,11.760000,11.210000,11.500000,6.993508,0
2000-03-01,11.710000,12.070000,11.440000,11.940000,7.261085,0
2000-04-01,11.780000,11.840000,11.060000,11.300000,6.871882,0
2000-05-01,11.330000,11.490000,10.590000,11.030000,6.707686,0
2000-06-01,11.180000,11.680000,11.180000,11.460000,6.969182,0
2000-07-01,11.550000,11.640000,10.900000,10.980000,6.677279,0
2000-08-01,10.970000,11.230000,10.790000,11.080000,6.738092,0
2000-09-01,11.330000,11.330000,10.350000,10.540000,6.409703,0
2000-10-01,10.610000,10.630000,9.880000,10.290000,6.257667,0
2000-11-01,10.450000,10.550000,9.780000,9.910000,6.026578,0
2000-12-01,10.040000,10.300000,9.880000,10.140000,6.166449,0
2001-01-01,10.100000,10.620000,9.870000,10.130000,6.228610,0
2001-02-01,10.160000,10.160000,9.330000,9.370000,5.761310,0
2001-03-01,9.350000,9.480000,8.310000,8.750000,5.380091,0
2001-04-01,8.670000,9.420000,8.590000,9.420000,5.792054,0
2001-05-01,9.470000,9.470000,9.030000,9.030000,5.552253,0
2001-06-01,9.000000,9.090000,8.600000,8.660000,5.324756,0
2001-07-01,8.730000,8.730000,8.250000,8.500000,5.226376,0
2001-08-01,8.580000,8.660000,8.250000,8.290000,5.097253,0
2001-09-01,8.200000,8.200000,6.840000,7.440000,4.574615,0
2001-10-01,7.390000,7.820000,7.390000,7.630000,4.691440,0
2001-11-01,7.710000,7.970000,7.710000,7.860000,4.832860,0
2001-12-01,7.760000,8.070000,7.680000,7.790000,4.789820,0
2002-01-01,7.780000,7.910000,7.300000,7.380000,4.611340,0
2002-02-01,7.370000,7.470000,7.160000,7.430000,4.642583,0
2002-03-01,7.550000,7.970000,7.550000,7.870000,4.917512,0
2002-04-01,7.870000,7.960000,7.700000,7.880000,4.923761,0
2002-05-01,7.920000,8.110000,7.820000,8.020000,5.011239,0
2002-06-01,8.020000,8.020000,7.360000,7.700000,4.811289,0
2002-07-01,7.690000,7.720000,6.560000,6.940000,4.336410,0
2002-08-01,6.720000,7.190000,6.580000,6.920000,4.323913,0
2002-09-01,6.650000,6.830000,6.040000,6.160000,3.849032,0
2002-10-01,6.350000,6.520000,5.880000,6.500000,4.061480,0
2002-11-01,6.480000,6.760000,6.480000,6.740000,4.211441,0
2002-12-01,6.770000,6.770000,6.270000,6.430000,4.017737,0
2003-01-01,6.530000,6.640000,6.110000,6.160000,3.933098,0
2003-02-01,6.250000,6.250000,5.940000,6.020000,3.843710,0
2003-03-01,6.080000,6.160000,5.580000,5.900000,3.767091,0
2003-04-01,5.950000,6.480000,5.950000,6.480000,4.137415,0
2003-05-01,6.510000,6.910000,6.510000,6.870000,4.386426,0
2003-06-01,6.990000,7.370000,6.950000,7.040000,4.494969,0
2003-07-01,7.030000,7.320000,7.030000,7.230000,4.616282,0
2003-08-01,7.180000,7.430000,7.110000,7.390000,4.718441,0
2003-09-01,7.500000,7.870000,7.500000,7.620000,4.865295,0
2003-10-01,7.800000,8.190000,7.800000,8.090000,5.165383,0
2003-11-01,8.140000,8.270000,8.040000,8.270000,5.280313,0
2003-12-01,8.390000,8.760000,8.390000,8.760000,5.593173,0
2004-01-01,8.860000,9.160000,8.860000,8.880000,5.771049,0
2004-02-01,8.910000,9.290000,8.860000,9.090000,5.907525,0
2004-03-01,9.240000,9.240000,8.750000,9.140000,5.940023,0
2004-04-01,9.260000,9.300000,8.890000,8.890000,5.778833,0
2004-05-01,8.910000,9.140000,8.420000,8.950000,5.817833,0
2004-06-01,8.940000,9.270000,8.920000,9.190000,5.973843,0
2004-07-01,9.130000,9.160000,8.750000,8.860000,5.759331,0
2004-08-01,8.870000,8.930000,8.680000,8.900000,5.785333,0
2004-09-01,8.970000,9.150000,8.940000,9.140000,5.941343,0
2004-10-01,9.280000,9.480000,9.210000,9.440000,6.136351,0
2004-11-01,9.500000,10.140000,9.500000,10.090000,6.558877,0
2004-12-01,10.190000,10.490000,9.990000,10.330000,6.714886,0
2005-01-01,10.280000,10.280000,9.960000,10.130000,6.712863,0
2005-02-01,10.160000,10.560000,10.140000,10.560000,6.997815,0
2005-03-01,10.590000,10.700000,10.200000,10.300000,6.825520,0
2005-04-01,10.290000,10.410000,9.980000,10.100000,6.694251,0
2005-05-01,10.080000,10.250000,9.960000,10.060000,6.667737,0
2005-06-01,10.140000,10.330000,10.080000,10.170000,6.740647,0
2005-07-01,10.170000,10.500000,10.070000,10.500000,6.959368,0
2005-08-01,10.580000,10.990000,10.580000,10.840000,7.184719,0
2005-09-01,11.010000,11.300000,11.010000,11.290000,7.482976,0
2005-10-01,11.220000,11.220000,10.640000,10.970000,7.270884,0
2005-11-01,11.010000,11.300000,10.950000,11.170000,7.403440,0
2005-12-01,11.340000,11.790000,11.340000,11.480000,7.608910,0
2006-01-01,11.800000,12.190000,11.680000,12.190000,8.259042,0
2006-02-01,12.230000,12.230000,11.890000,12.110000,8.204838,0
2006-03-01,12.220000,12.630000,11.960000,12.540000,8.496173,0
2006-04-01,12.660000,13.170000,12.600000,13.150000,8.912335,0
2006-05-01,13.220000,13.680000,12.490000,12.700000,8.607352,0
2006-06-01,12.760000,12.880000,11.610000,12.660000,8.580243,0
2006-07-01,12.770000,12.840000,11.950000,12.790000,8.668348,0
2006-08-01,12.660000,13.150000,12.660000,13.130000,8.898782,0
2006-09-01,13.210000,13.280000,12.840000,13.160000,8.919114,0
2006-10-01,13.220000,13.740000,13.210000,13.670000,9.264761,0
2006-11-01,13.670000,14.090000,13.640000,14.090000,9.549417,0
2006-12-01,14.070000,14.530000,14.070000,14.160000,9.596855,0
2007-01-01,14.270000,14.450000,13.930000,14.340000,9.946112,0
2007-02-01,14.520000,14.920000,14.380000,14.380000,9.973857,0
2007-03-01,14.240000,14.860000,13.830000,14.770000,10.244356,0
2007-04-01,14.840000,15.540000,14.840000,15.330000,10.636432,0
2007-05-01,15.350000,15.720000,15.340000,15.720000,10.907022,0
2007-06-01,15.840000,15.890000,15.270000,15.700000,10.893147,0
2007-07-01,15.900000,16.270000,15.110000,15.360000,10.657243,0
2007-08-01,15.340000,15.600000,14.320000,15.260000,10.587862,0
2007-09-01,15.400000,16.070000,14.960000,16.070000,11.149861,0
2007-10-01,16.270000,16.790001,15.950000,16.790001,11.649422,0
2007-11-01,16.330000,16.469999,15.410000,16.160000,11.212308,0
2007-12-01,16.080000,16.440001,15.260000,15.400000,10.684998,0
2008-01-01,15.330000,15.340000,13.450000,14.200000,10.069819,0
2008-02-01,14.370000,14.560000,13.460000,14.100000,9.998909,0
2008-03-01,14.060000,14.110000,13.430000,14.110000,10.005999,0
2008-04-01,14.500000,14.940000,14.260000,14.850000,10.534646,0
2008-05-01,14.950000,15.400000,14.890000,15.050000,10.676525,0
2008-06-01,14.930000,15.010000,13.650000,13.760000,9.761395,0
2008-07-01,13.640000,13.640000,12.910000,13.280000,9.420882,0
2008-08-01,13.100000,13.300000,12.450000,12.710000,9.016521,0
2008-09-01,12.560000,12.560000,10.870000,11.160000,7.916946,0
2008-10-01,11.160000,11.160000,7.550000,8.870000,6.292410,0
2008-11-01,8.900000,9.470000,7.150000,8.340000,5.916426,0
2008-12-01,7.660000,9.010000,7.660000,8.740000,6.200188,0
2009-01-01,8.880000,8.880000,7.430000,7.620000,5.590266,0
2009-02-01,7.530000,7.980000,6.820000,6.820000,5.003361,0
2009-03-01,6.460000,7.720000,6.260000,7.360000,5.399520,0
2009-04-01,7.530000,8.240000,7.530000,8.240000,6.050069,0
2009-05-01,8.330000,9.340000,8.330000,9.340000,6.857724,0
2009-06-01,9.570000,9.620000,8.940000,9.230000,6.776957,0
2009-07-01,9.350000,10.110000,8.830000,10.110000,7.423080,0
2009-08-01,10.370000,10.630000,9.960000,10.580000,7.768174,0
2009-09-01,10.330000,11.170000,10.330000,11.010000,8.083892,0
2009-10-01,10.690000,11.440000,10.580000,10.750000,7.892990,0
2009-11-01,10.830000,11.480000,10.760000,11.100000,8.149972,0
2009-12-01,11.410000,11.420000,10.930000,10.950000,8.039837,0
2010-01-01,11.230000,11.450000,10.430000,10.430000,7.835210,0
2010-02-01,10.610000,10.740000,10.050000,10.430000,7.835210,0
2010-03-01,10.520000,11.140000,10.520000,11.080000,8.323504,0
2010-04-01,11.270000,11.480000,10.780000,10.820000,8.130406,0
2010-05-01,10.860000,10.860000,9.300000,9.610000,7.221184,0
2010-06-01,9.530000,10.080000,9.220000,9.450000,7.100958,0
2010-07-01,9.540000,10.520000,9.530000,10.470000,7.867409,0
2010-08-01,10.790000,10.850000,10.000000,10.090000,7.581870,0
2010-09-01,10.460000,11.190000,10.460000,11.110000,8.348319,0
2010-10-01,11.200000,11.680000,11.060000,11.540000,8.671432,0
2010-11-01,11.500000,12.010000,10.950000,10.950000,8.228094,0
2010-12-01,11.260000,11.800000,11.260000,11.580000,8.701489,0
2011-01-01,11.640000,12.000000,11.390000,11.840000,9.115345,0
2011-02-01,12.120000,12.330000,12.000000,12.260000,9.438693,0
2011-03-01,12.130000,12.270000,11.080000,11.940000,9.192333,0
2011-04-01,12.070000,12.700000,11.870000,12.700000,9.779926,0
2011-05-01,12.690000,12.690000,11.780000,12.340000,9.502701,0
2011-06-01,12.110000,12.180000,11.580000,12.180000,9.379488,0
2011-07-01,12.300000,12.300000,11.650000,11.940000,9.194670,0
2011-08-01,11.810000,11.810000,10.150000,10.870000,8.370687,0
2011-09-01,10.810000,10.810000,9.470000,9.740000,7.500509,0
2011-10-01,9.460000,11.260000,9.460000,10.650000,8.201275,0
2011-11-01,10.290000,10.670000,9.430000,10.370000,7.985655,0
2011-12-01,10.290000,10.410000,9.610000,9.790000,7.539014,0
2012-01-01,10.080000,10.450000,9.780000,10.360000,8.262732,0
2012-02-01,10.530000,11.000000,10.530000,10.890000,8.685440,0
2012-03-01,10.980000,11.080000,10.510000,10.910000,8.701388,0
2012-04-01,11.030000,11.030000,10.310000,10.660000,8.505103,0
2012-05-01,10.680000,10.680000,9.430000,9.460000,7.547679,0
2012-06-01,9.250000,10.140000,9.250000,10.140000,8.090221,0
2012-07-01,10.210000,10.290000,9.660000,10.170000,8.114156,0
2012-08-01,10.140000,10.650000,10.040000,10.490000,8.369467,0
2012-09-01,10.420000,11.200000,10.400000,10.570000,8.433297,0
2012-10-01,10.650000,10.950000,10.530000,10.690000,8.702939,0
2012-11-01,10.780000,10.950000,10.350000,10.950000,8.914610,0
2012-12-01,10.950000,11.320000,10.950000,11.260000,9.166987,0
2013-01-01,11.480000,11.780000,11.330000,11.760000,9.668942,0
2013-02-01,11.840000,11.840000,11.450000,11.600000,9.537393,0
2013-03-01,11.600000,11.950000,11.600000,11.720000,9.636056,0
2013-04-01,11.610000,12.320000,11.610000,12.320000,10.174013,0
2013-05-01,12.250000,12.620000,11.950000,11.950000,9.868467,0
2013-06-01,12.030000,12.110000,11.160000,11.430000,9.439039,0
2013-07-01,11.550000,12.200000,11.470000,12.040000,10.096292,0
2013-08-01,12.160000,12.350000,11.870000,11.870000,9.953737,0
2013-09-01,12.080000,13.000000,12.080000,12.710000,10.658128,0
2013-10-01,12.780000,13.310000,12.510000,13.120000,11.047257,0
2013-11-01,13.050000,13.210000,12.930000,13.210000,11.123038,0
2013-12-01,13.120000,13.350000,12.770000,13.350000,11.240923,0
2014-01-01,13.150000,13.360000,12.740000,12.740000,10.783830,0
2014-02-01,12.520000,13.470000,12.520000,13.470000,11.401739,0
2014-03-01,13.180000,13.550000,12.880000,13.270000,11.232450,0
2014-04-01,13.350000,13.470000,13.090000,13.470000,11.524873,0
2014-05-01,13.490000,13.690000,13.400000,13.690000,11.713103,0
2014-06-01,13.720000,13.930000,13.620000,13.670000,11.695992,0
2014-07-01,13.790000,13.850000,13.360000,13.360000,11.567978,0
2014-08-01,13.290000,13.470000,13.040000,13.400000,11.602612,0
2014-09-01,13.400000,13.490000,12.770000,12.770000,11.057116,0
2014-10-01,12.630000,12.710000,11.910000,12.710000,11.063213,0
2014-11-01,12.610000,12.810000,12.480000,12.720000,11.071918,0
2014-12-01,12.700000,12.730000,11.980000,12.170000,10.593182,0
2015-01-01,12.140000,12.440000,11.750000,12.280000,10.756209,0
2015-02-01,12.410000,13.030000,12.410000,13.010000,11.395623,0
2015-03-01,13.020000,13.190000,12.500000,12.790000,11.202926,0
2015-04-01,12.860000,13.540000,12.860000,13.310000,11.709891,0
2015-05-01,13.370000,13.630000,13.210000,13.290000,11.692296,0
2015-06-01,13.240000,13.430000,12.760000,12.760000,11.226011,0
2015-07-01,12.840000,13.060000,12.310000,12.920000,11.509131,0
2015-08-01,12.900000,13.040000,11.570000,11.980000,10.671779,0
2015-09-01,11.620000,12.060000,11.200000,11.440000,10.190744,0
2015-10-01,11.470000,12.390000,11.470000,12.220000,10.934272,0
2015-11-01,12.310000,12.310000,11.880000,12.110000,10.835845,0
2015-12-01,12.250000,12.250000,11.620000,11.820000,10.576360,0
2016-01-01,11.600000,11.600000,10.550000,11.140000,10.027390,0
2016-02-01,11.130000,11.130000,10.340000,10.810000,9.730349,0
2016-03-01,11.060000,11.610000,11.060000,11.530000,10.378438,0
2016-04-01,11.400000,12.030000,11.170000,11.810000,10.677704,0
2016-05-01,11.900000,11.900000,11.460000,11.760000,10.632498,0
2016-06-01,11.750000,12.050000,10.720000,11.340000,10.252766,0
2016-07-01,11.380000,11.840000,11.120000,11.840000,10.849676,0
2016-08-01,11.760000,12.090000,11.660000,11.900000,10.904656,0
2016-09-01,11.960000,12.230000,11.670000,12.010000,11.005457,0
2016-10-01,12.000000,12.010000,11.690000,11.730000,10.799443,0
2016-11-01,11.710000,11.710000,11.420000,11.550000,10.633724,0
2016-12-01,11.540000,12.000000,11.540000,11.740000,10.808651,0
2017-01-01,11.810000,12.280000,11.810000,12.170000,11.297248,0
2017-02-01,12.210000,12.410000,12.170000,12.290000,11.408642,0
2017-03-01,12.410000,12.680000,12.270000,12.610000,11.705693,0
2017-04-01,12.590000,12.940000,12.480000,12.900000,12.020799,0
2017-05-01,12.930000,13.370000,12.930000,13.340000,12.430812,0
2017-06-01,13.420000,13.550000,13.190000,13.260000,12.356263,0
2017-07-01,13.250000,13.650000,13.180000,13.650000,12.867753,0
2017-08-01,13.720000,13.730000,13.440000,13.660000,12.877179,0
2017-09-01,13.680000,13.930000,13.600000,13.930000,13.131707,0
2017-10-01,13.930000,14.190000,13.930000,14.190000,13.432776,0
2017-11-01,14.220000,14.360000,13.990000,14.120000,13.366513,0
2017-12-01,14.270000,14.420000,14.140000,14.410000,13.641037,0
2018-01-01,14.540000,15.380000,14.540000,15.110000,14.443196,0
2018-02-01,15.140000,15.140000,13.960000,14.320000,13.688060,0
2018-03-01,14.160000,14.500000,13.870000,14.200000,13.573355,0
2018-04-01,14.010000,14.580000,14.010000,14.420000,13.834668,0
2018-05-01,14.370000,14.650000,14.090000,14.190000,13.614003,0
2018-06-01,14.290000,14.480000,13.680000,13.800000,13.239835,0
2018-07-01,13.660000,14.120000,13.660000,14.120000,13.716474,0
2018-08-01,14.070000,14.070000,13.470000,13.850000,13.454189,0
2018-09-01,13.710000,14.070000,13.470000,13.900000,13.502759,0
2018-10-01,13.920000,13.920000,12.450000,12.720000,12.401627,0
2018-11-01,12.880000,13.100000,12.470000,12.770000,12.450377,0
2018-12-01,12.920000,12.920000,11.590000,11.960000,11.660649,0
2019-01-01,11.910000,12.840000,11.810000,12.840000,12.647313,0
2019-02-01,12.810000,13.200000,12.650000,13.120000,12.923111,0
2019-03-01,13.170000,13.330000,12.910000,13.120000,12.923111,0
2019-04-01,13.280000,13.510000,13.280000,13.500000,13.353172,0
2019-05-01,13.430000,13.510000,12.790000,12.790000,12.650894,0
2019-06-01,12.880000,13.400000,12.880000,13.400000,13.254260,0
2019-07-01,13.440000,13.570000,13.120000,13.120000,13.120000,0
2019-08-01,13.100000,13.100000,12.670000,12.720000,12.720000,0
