Date,VWO,VOO,VIG,VB,BND,VEA,VXUS,VTI
2011-01-01,37.436916,98.956352,44.571541,64.504951,64.201897,28.441723,39.160275,56.194801
2011-02-01,37.37249,102.38665,46.091213,68.067978,64.209877,29.481409,40.070976,58.272629
2011-03-01,39.41787,101.932602,46.35006,69.664284,64.125778,28.734369,39.968918,58.272629
2011-04-01,40.746563,105.395554,48.208179,71.716057,65.050682,30.523375,42.04155,60.211273
2011-05-01,39.546726,104.162521,47.5956,70.313667,65.824768,29.699047,40.777565,59.572552
2011-06-01,39.152126,101.916115,46.983047,68.840729,65.578369,29.336952,40.282951,58.252499
2011-07-01,38.910545,100.306808,45.590382,66.344635,66.649918,28.635891,39.57637,57.174824
2011-08-01,35.375423,94.773811,44.131172,60.805618,67.754768,26.178301,36.231895,53.693874
2011-09-01,28.852751,87.849098,41.128357,54.128819,68.214203,23.21225,31.646971,49.366219
2011-10-01,33.44278,97.832512,45.342365,62.402069,68.290894,25.477234,34.889389,55.268517
2011-11-01,32.871033,97.542358,46.19083,62.128643,68.252945,24.945656,34.15139,55.062172
2011-12-01,30.769299,98.054382,46.369011,61.449482,68.572563,23.597448,32.110161,55.285725
2012-01-01,34.900032,103.053528,47.866135,66.602058,69.6717,25.783361,35.565174,58.419094
2012-02-01,36.796337,107.466194,49.189342,68.783058,69.530823,27.042637,37.185467,60.883511
2012-03-01,35.839954,110.522423,49.983269,70.365219,69.184868,27.122347,36.982933,62.483185
2012-04-01,35.089676,110.308273,50.046707,69.666992,69.878975,26.485338,36.213303,62.351734
2012-05-01,31.346558,103.685661,47.859585,64.981979,70.604271,23.527466,32.292217,58.469963
2012-06-01,32.921299,107.410896,48.622929,67.986107,70.655602,25.169842,34.220348,60.528091
2012-07-01,32.987259,109.274139,49.857807,67.306587,71.524811,25.233622,34.325665,61.36755
2012-08-01,33.06971,112.013367,50.80666,69.702736,71.641541,26.062782,35.21682,63.025909
2012-09-01,34.397121,114.284492,51.479485,71.651855,71.773842,26.214266,35.816338,64.282761
2012-10-01,34.633816,112.623703,51.105423,70.62365,71.709579,27.03302,36.713749,63.429604
2012-11-01,35.076229,113.26841,51.842571,71.508789,71.898758,27.76519,37.471581,63.92078
2012-12-01,37.171448,113.599525,51.66045,72.331337,71.128456,28.660057,38.773075,64.271576
2013-01-01,37.580406,120.331055,55.17577,78.339607,70.776665,30.052702,40.246307,68.254875
2013-02-01,36.694862,121.92823,55.814098,79.32296,71.01413,29.707644,39.787067,69.129608
2013-03-01,36.180424,125.736809,57.449249,82.992287,71.079208,29.929462,40.054264,71.532883
2013-04-01,36.956436,128.977997,58.671444,83.253807,71.671631,31.629637,41.565788,73.013046
2013-05-01,35.081589,131.975815,59.347736,86.249939,70.271225,30.688929,40.192814,74.797119
2013-06-01,32.759132,129.330612,58.144436,85.339264,69.107956,29.376865,38.242184,73.376961
2013-07-01,33.434128,136.880432,61.609413,91.131149,69.36647,31.381338,40.538364,77.958397
2013-08-01,32.287125,132.662186,59.410965,88.180573,68.772171,30.878567,39.74947,75.595177
2013-09-01,34.35001,136.472794,61.45932,93.334991,69.532341,33.166191,42.540249,78.163498
2013-10-01,36.137806,143.286636,64.343269,96.30378,70.12899,34.371262,44.301594,81.892563
2013-11-01,35.801193,147.579559,65.834068,98.917427,69.915848,34.598438,44.361237,84.105865
2013-12-01,35.507751,150.652298,66.765793,100.128609,69.266701,35.069633,44.633915,85.951805
2014-01-01,32.688221,146.125656,63.76284,99.348633,70.545708,33.41967,42.603748,83.666466
2014-02-01,33.746883,152.797043,66.885414,104.394951,70.727959,35.40744,44.985432,87.738113
2014-03-01,35.213383,153.441772,67.117371,104.20121,70.607765,34.908382,44.882252,87.801147
2014-04-01,35.621708,155.257721,68.094971,101.663116,71.158066,35.83799,45.778774,88.239273
2014-05-01,36.726719,158.820068,69.188217,102.945557,71.757744,36.470631,46.662128,90.094002
2014-06-01,37.52721,161.410843,69.851334,108.056816,71.818726,36.410786,47.0172,92.075394
2014-07-01,38.410431,159.905777,67.891434,102.631866,71.624687,35.974529,46.716824,90.611359
2014-08-01,39.886402,166.258286,70.368561,107.826187,72.441727,36.069687,47.259739,94.372437
2014-09-01,36.644531,163.185944,69.314651,102.069046,72.022606,34.391224,44.659,91.97406
2014-10-01,37.853851,167.90332,71.506607,106.682121,72.557594,34.450024,44.859402,94.930878
2014-11-01,37.436607,172.533722,73.805946,107.807724,73.150795,34.450024,44.630524,97.285431
2014-12-01,35.527924,171.053848,73.471024,107.632431,72.862167,32.945408,43.037205,96.737854
2015-01-01,35.613117,167.067581,71.399826,106.837471,74.956734,33.387653,43.018726,94.587608
2015-02-01,37.27161,176.389206,75.387718,113.032845,73.82814,35.444302,45.503826,100.018829
2015-03-01,36.442364,172.737244,73.266312,114.698685,74.235527,34.857937,45.557079,98.394958
2015-04-01,39.212006,175.362076,73.521965,112.40657,73.970108,36.366199,46.747528,99.464073
2015-05-01,37.8186,177.555252,74.226967,114.672325,73.483673,36.34861,46.551674,100.754486
2015-06-01,36.514519,173.214783,71.947144,113.726707,72.658981,34.854237,44.788967,98.643723
2015-07-01,34.545223,177.887451,73.909874,113.39901,73.298813,35.806812,44.650303,100.751724
2015-08-01,31.137585,166.971725,70.172035,106.789055,73.114349,33.216763,42.410141,94.614433
2015-09-01,29.83041,161.993317,67.888802,101.068535,73.706337,31.721472,40.880707,91.383789
2015-10-01,31.83959,176.618439,73.306084,107.732742,73.732918,34.006954,42.58131,99.115532
2015-11-01,31.108488,177.369202,73.093056,109.668655,73.438385,33.7477,42.020672,99.711006
2015-12-01,29.893019,173.254028,72.018715,104.484123,73.102081,32.826912,40.790882,97.040771
2016-01-01,28.312853,165.727081,70.800026,97.146362,74.180885,31.20178,38.867935,92.007568
2016-02-01,28.221012,165.382065,71.601395,97.89666,74.652847,30.239368,37.911049,91.998192
2016-03-01,31.756678,175.805862,75.710732,105.883751,75.321915,32.27211,40.936646,98.080254
2016-04-01,32.132904,177.368103,75.842667,108.058167,75.619545,33.163689,41.955299,99.187813
2016-05-01,31.09339,180.480118,76.563812,110.096275,75.622459,33.064308,41.54388,100.908157
2016-06-01,32.408882,180.161423,77.95929,110.172478,77.144997,31.944101,40.666195,100.738945
2016-07-01,34.300449,187.731476,80.181168,115.993423,77.614738,33.729534,43.024811,105.206528
2016-08-01,34.569,187.95755,80.19059,116.776443,77.371269,33.866917,43.219151,105.423683
2016-09-01,34.846809,187.175659,79.032364,116.671402,77.458389,34.260715,43.691139,105.121544
2016-10-01,35.380016,184.643448,77.871216,112.467491,76.735008,33.593498,43.107735,103.318451
2016-11-01,33.946075,191.52272,80.189095,122.100426,74.756119,33.08744,42.242031,107.958244
2016-12-01,33.533695,194.276337,80.586449,123.731514,74.80983,33.621109,42.70747,109.419449
2017-01-01,35.635456,198.976028,82.555534,126.342239,75.130859,35.140694,44.828377,112.146194
2017-02-01,36.435928,206.688644,86.127106,129.275742,75.43718,35.511761,45.429226,116.289856
2017-03-01,37.405918,206.003067,85.660423,128.609909,75.417366,36.458004,46.640293,115.831573
2017-04-01,38.057415,209.113525,87.548218,130.131241,76.002327,37.408051,47.751587,117.591293
2017-05-01,38.434784,212.050293,88.92617,128.688782,76.548683,38.683861,49.164352,118.78054
2017-06-01,38.519695,212.423386,88.677383,131.2155,76.585045,38.478985,48.947727,119.355972
2017-07-01,40.831223,217.786591,89.824715,133.032883,76.896179,40.051552,51.140678,122.160309
2017-08-01,42.055878,218.420837,89.497543,131.791306,77.715179,40.060974,51.416752,122.343361
2017-09-01,41.362846,221.745682,91.210327,137.077728,77.511116,40.899509,52.10218,124.790619
2017-10-01,42.865734,228.06813,93.549446,139.759323,77.494827,41.796688,53.447006,128.047684
2017-11-01,42.721664,235.041611,97.744591,144.024261,77.502052,42.156189,53.782001,131.927933
2017-12-01,44.095139,236.915359,98.624207,143.91716,77.628288,42.440006,54.375439,132.808487
2018-01-01,48.097233,251.352448,104.128357,148.569931,77.025177,44.888245,57.48616,140.441376
2018-02-01,45.520592,241.98703,99.930183,142.687042,76.059509,42.595592,54.471146,135.161346
2018-03-01,45.337238,234.941147,98.200378,143.812729,76.591118,42.270794,54.126579,131.971909
2018-04-01,44.168392,236.834641,97.67897,144.787292,75.905319,42.966469,54.515297,133.10347
2018-05-01,43.133801,242.557602,99.405991,152.170502,76.442284,42.352795,53.62286,136.725632
2018-06-01,40.803551,243.259552,99.152321,152.83812,76.402527,41.13504,51.914757,137.106415
2018-07-01,42.702843,253.105133,104.377167,155.990585,76.377853,42.604095,53.822502,142.256638
2018-08-01,40.912209,261.254669,107.301056,163.037247,76.882378,41.866188,52.532242,147.139389
2018-09-01,39.900105,261.577881,108.615822,160.006027,76.462463,42.011829,52.386719,146.72757
2018-10-01,37.270519,244.793198,102.165215,144.390457,75.806602,38.538887,48.140652,136.502594
2018-11-01,39.072029,249.407852,106.393349,147.552368,76.276131,38.733776,48.949814,139.25119
2018-12-01,37.506783,226.118118,96.537552,130.418793,77.513794,36.151524,46.034863,125.734894
2019-01-01,41.412716,245.346848,103.223419,146.518555,78.765411,39.262421,50.096077,137.274536
2019-02-01,41.25412,253.320313,107.951439,153.633331,78.49987,40.178246,50.913933,142.159851
2019-03-01,42.126385,256.753052,108.675003,151.834763,80.035255,40.247181,51.140568,143.398529
2019-04-01,43.112862,268.614227,113.249817,157.777771,80.002769,41.567226,52.729229,149.832779
2019-05-01,40.36182,251.56282,108.001602,146.453812,81.468346,39.40134,49.872322,140.168716
2019-06-01,42.238884,267.758667,114.683861,156.162918,82.48925,41.250751,52.145985,149.53389
2019-07-01,41.759998,273.079987,117.730003,158.539993,82.613617,40.860001,51.700001,152.210007
2019-08-01,40.490002,269.579987,114.739998,151.729996,83.854561,39.619999,49.970001,147.029999
